id,BusinessSector,Business Functional,MeasuringElt,Rating,SUbCategory,Questions,Answers ,RateAnswer ,MAXIMUM RATING
99,MINING,Human Resources (HR),,,Digitally monitor staff health status,,Reactive,2,5
100,MINING,Human Resources (HR),,,Change Management,,Reactive,2,5
101,MINING,Human Resources (HR),,,Reskilling,,Reactive,2,5
102,MINING,Human Resources (HR),,,Stakeholder Engagement,,Reactive,2,5
103,MINING,Human Resources (HR),Worker Enablement,,Quick Decision,,Reactive,2,5
104,MINING,Human Resources (HR),,,Making Employee,,Reactive,2,5
105,MINING,Human Resources (HR),,,Enablement,,Reactive,2,5
106,MINING,Human Resources (HR),,,Employee Effectiveness,,Reactive,2,5
107,MINING,Human Resources (HR),Culture,,Work Transformation,,Reactive,2,5
108,MINING,Human Resources (HR),,,Changing Behaviour,,Reactive,2,5
109,MINING,Human Resources (HR),,,Departmental Transformation,,Reactive,2,5
110,MINING,Human Resources (HR),,,People Transformation,,Reactive,2,5
111,MINING,"Marketing and sales,Corporate Development and Strategy",Customer Experience,,Customer Satisfaction,,Reactive,2,5
112,MINING,Marketing and sales.Corporate Development and Strategy,,,Mine to Customer,,Reactive,2,5
113,MINING,"Corporate Development and Strategy, Supply Chain and Logistics",Unified Data ,,Integrated Operations Centres,,Reactive,2,5
114,MINING,"Corporate Development and Strategy, Supply Chain and Logistics",,,Realtime data,,Reactive,2,5
115,MINING,"Corporate Development and Strategy, Supply Chain and Logistics",,,Integration,,Reactive,2,5
116,MINING,"Corporate Development and Strategy, Supply Chain and Logistics",,,Data-Driven Mine,,Reactive,2,5
117,MINING,"Corporate Development and Strategy, Supply Chain and Logistics",,,Eliminating Silos,,Reactive,2,5
118,MINING,"Corporate Development and Strategy, Supply Chain and Logistics",,,Single Platform,,Reactive,2,5
119,MINING,Human Resources (HR),Performance Management,,Value Chain Optimisation,,Reactive,2,5
120,MINING,Human Resources (HR),,,Business Intelligence,,Reactive,2,5
121,MINING,Human Resources (HR),,,Business Improvement,,Reactive,2,5
122,MINING,Human Resources (HR),,,Shareholder Returns,,Reactive,2,5
123,MINING,Human Resources (HR),,,Key Performance Indicators,,Reactive,2,5
124,MINING,Community and Stakeholder Relations,Stakeholder Involvement,,Labour,,Reactive,2,5
125,MINING,Community and Stakeholder Relations,,,Unions,,Reactive,2,5
126,MINING,Community and Stakeholder Relations,,,Employees,,Reactive,2,5
127,MINING,"Mining Operations,Human Resources (HR)",Ease of Use and Adoption,,Practicality of technologies,,Reactive,2,5
128,MINING,"Mining Operations,Human Resources (HR)",,,Project Value Realisation,,Reactive,2,5
129,MINING,"Mining Operations,Human Resources (HR)",,,Motivation (No Incentives),,Reactive,2,5
130,MINING,Corporate Development and Strategy, Change Management,,Ineffective change management,,Reactive,2,5
131,MINING,Corporate Development and Strategy,,,communication,,Reactive,2,5
132,MINING,Corporate Development and Strategy,,,Change Resistance,,Reactive,2,5
133,MINING,Corporate Development and Strategy,,,Reskilling,,Reactive,2,5
134,MINING,"Mining Operations,Health, Safety, and Environment (HSE)",Worker Safety,,Safety message announcement,,Reactive,2,5
135,MINING,"Mining Operations,Health, Safety, and Environment (HSE)",,,Monitoring of staff and visitor presence,,Reactive,2,5
136,MINING,Legal and Compliance,Contract management,,Digitally update and follow-up contracts towards clients,,Reactive,2,5
137,MINING,Legal and Compliance,,,Digitally track sub-contractor and supplier,,Reactive,2,5
138,MINING,Legal and Compliance,,,payment management,,Reactive,2,5
139,MINING,Mining Operations,Quality control,,Collect and monitor progress reports,,Reactive,2,5
140,MINING,Mining Operations,,,Quality inspections with mobile devices,,Reactive,2,5
141,MINING,Mining Operations,Scheduling,,"Create, assign, and prioritize tasks in real time and distribute to mobile devices",,Reactive,2,5
142,MINING,Mining Operations,,,Plan and simulate site progress in 4D-software,,Reactive,2,5
143,MINING,Mining Operations,,,Maintain a digital construction site disposition plan,,Reactive,2,5
144,MINING,Mining Operations,Logistics,,"Identify, track and locate material and equipment on-site with digital tools",,Reactive,2,5
145,MINING,Mining Operations,,,"Digitally monitor procurement orders, receipts, use, and quality issues",,Reactive,2,5
146,MINING,Mining Operations,,,Maintain digital bill of quantities,,Reactive,2,5
147,MINING,Mining Operations,Design management,,Visualize drawings and 3D models on-site on mobile platforms,,Reactive,2,5
148,MINING,Mining Operations,,,"Update digital drawings, models and technical information with notes and asbuilt records",,Reactive,2,5
149,MINING,Mining Operations,Ventiltion requirements,,Dust control measures,,Reactive,2,5
150,MINING,Mining Operations,,,control measures,,Reactive,2,5
151,MINING,Mining Operations,,,Satbilization of haul road surfaces,,Reactive,2,5
152,MINING,Mining Operations,,,Utilization of fog cannons for visible dust,,Reactive,2,5
153,MINING,Mining Operations,,,Dust supression installation systems,,Reactive,2,5
154,MINING,"Mining Operations,Processing and Metallurgy",Mineral processing,,Comminution,,Reactive,2,5
155,MINING,"Mining Operations,Processing and Metallurgy",,,Ore characterization,,Reactive,2,5
156,MINING,"Mining Operations,Processing and Metallurgy",,,Process facilities,,Reactive,2,5
157,MINING,"Mining Operations,Processing and Metallurgy",,,Plant operation and mainatainance philosophy,,Reactive,2,5
158,MINING,"Mining Operations,Processing and Metallurgy",,,Expandability and expansion options,,Reactive,2,5
159,MINING,"Mining Operations,Processing and Metallurgy",,,Classification,,Reactive,2,5
160,MINING,"Mining Operations,Processing and Metallurgy",,,Gravity Separation,,Reactive,2,5
161,MINING,"Mining Operations,Processing and Metallurgy",,,Flotation,,Reactive,2,5
162,MINING,"Mining Operations,Processing and Metallurgy",,,Magnetic Separation,,Reactive,2,5
163,MINING,"Mining Operations,Processing and Metallurgy",,,Leaching,,Reactive,2,5
164,MINING,"Mining Operations,Processing and Metallurgy",,,Dewatering,,Reactive,2,5
165,MINING,"Mining Operations,Processing and Metallurgy",,,Smelting and Refining,,Reactive,2,5
166,MINING,Mining Operations,Mine access,,Blind splot,,Reactive,2,5
167,MINING,Mining Operations,,,Intersections,,Reactive,2,5
168,MINING,Mining Operations,,,Safety berms and ditches,,Reactive,2,5
169,MINING,Mining Operations,,,Equipment selection process,,Reactive,2,5
170,MINING,Mining Operations,,,Material handling,,Reactive,2,5
171,MINING,Mining Operations,,,haul road cross-sections,,Reactive,2,5
172,MINING,Mining Operations,,,drainage requirements,,Reactive,2,5
173,MINING,Mining Operations,,,road construction materials,,Reactive,2,5
174,MINING,"Exploration and Geology,Marketing and sales",Market analysis,,Product specification,,Reactive,2,5
175,MINING,"Exploration and Geology,Marketing and sales",,,Demand and supply forecast,,Reactive,2,5
176,MINING,"Exploration and Geology,Marketing and sales",,,Pricing strategy,,Reactive,2,5
177,MINING,"Exploration and Geology,Marketing and sales",,,Competitors,,Reactive,2,5
178,MINING,"Exploration and Geology,Marketing and sales",,,Revenue forecast,,Reactive,2,5
179,MINING,"Exploration and Geology,Marketing and sales",,,Product shipping storage and distribution,,Reactive,2,5
180,MINING,Mining Operations,Undeground and surface infrastructure,,Utilities,,Reactive,2,5
181,MINING,Mining Operations,,,Change rooms,,Reactive,2,5
182,MINING,Mining Operations,,,Underground waiting areas,,Reactive,2,5
183,MINING,Mining Operations,,,Transport infrastructures,,Reactive,2,5
184,MINING,Mining Operations,,,Temporary infrastructures,,Reactive,2,5
185,MINING,Mining Operations,,,Communication,,Reactive,2,5
186,MINING,Mining Operations,,,Building and facilities ,,Reactive,2,5
,IT,"Hardware, Software",Fabchi,100,Building and facilities ,,Reactive,2,5
,IT,"fghjkl,slrtyk",Fabchi,100,Building and facilities ,,Reactive,2,5
,IT,"Operations, Funitute",Rajour,90,Building and facilities ,,Reactive,2,5
,IT,"fghjk,tyuyiio",Rajour,90,Building and facilities ,,Reactive,2,5
,IT,"Yes, No",Jumfan,80,Building and facilities ,,Reactive,2,5
,IT,"oiuijhgf,fgfhgjkjkll",Jumfan,80,Building and facilities ,,Reactive,2,5
,IT,"Why me, again",Einsteinds,70,Building and facilities ,,Reactive,2,5
,IT,"again, we here",Einsteinds,70,Building and facilities ,,Reactive,2,5
